0.504,0.3892875,,,,,,,,,,,,,,,,,,,,,,,
0.505,0.4073,,,,,,,,,,,,,,,,,,,,,,,
0.506,0.4256299,,,,,,,,,,,,,,,,,,,,,,,
0.507,0.4443096,,,,,,,,,,,,,,,,,,,,,,,
0.508,0.4633944,,,,,,,,,,,,,,,,,,,,,,,
0.509,0.4829395,,,,,,,,,,,,,,,,,,,,,,,
0.51,0.503,,,,,,,,,,,,,,,,,,,,,,,
0.511,0.5235693,,,,,,,,,,,,,,,,,,,,,,,
0.512,0.544512,,,,,,,,,,,,,,,,,,,,,,,
0.513,0.56569,,,,,,,,,,,,,,,,,,,,,,,
0.514,0.5869653,,,,,,,,,,,,,,,,,,,,,,,
0.515,0.6082,,,,,,,,,,,,,,,,,,,,,,,
0.516,0.6293456,,,,,,,,,,,,,,,,,,,,,,,
0.517,0.6503068,,,,,,,,,,,,,,,,,,,,,,,
0.518,0.6708752,,,,,,,,,,,,,,,,,,,,,,,
0.519,0.6908424,,,,,,,,,,,,,,,,,,,,,,,
0.52,0.71,,,,,,,,,,,,,,,,,,,,,,,
0.521,0.7281852,,,,,,,,,,,,,,,,,,,,,,,
0.522,0.7454636,,,,,,,,,,,,,,,,,,,,,,,
0.523,0.7619694,,,,,,,,,,,,,,,,,,,,,,,
0.524,0.7778368,,,,,,,,,,,,,,,,,,,,,,,
0.525,0.7932,,,,,,,,,,,,,,,,,,,,,,,
0.526,0.8081104,,,,,,,,,,,,,,,,,,,,,,,
0.527,0.8224962,,,,,,,,,,,,,,,,,,,,,,,
0.528,0.8363068,,,,,,,,,,,,,,,,,,,,,,,
0.529,0.8494916,,,,,,,,,,,,,,,,,,,,,,,
0.53,0.862,,,,,,,,,,,,,,,,,,,,,,,
0.531,0.8738108,,,,,,,,,,,,,,,,,,,,,,,
0.532,0.8849624,,,,,,,,,,,,,,,,,,,,,,,
0.533,0.8954936,,,,,,,,,,,,,,,,,,,,,,,
0.534,0.9054432,,,,,,,,,,,,,,,,,,,,,,,
0.535,0.9148501,,,,,,,,,,,,,,,,,,,,,,,
0.536,0.9237348,,,,,,,,,,,,,,,,,,,,,,,
0.537,0.9320924,,,,,,,,,,,,,,,,,,,,,,,
0.538,0.9399226,,,,,,,,,,,,,,,,,,,,,,,
0.539,0.9472252,,,,,,,,,,,,,,,,,,,,,,,
0.54,0.954,,,,,,,,,,,,,,,,,,,,,,,
0.541,0.9602561,,,,,,,,,,,,,,,,,,,,,,,
0.542,0.9660074,,,,,,,,,,,,,,,,,,,,,,,
0.543,0.9712606,,,,,,,,,,,,,,,,,,,,,,,
0.544,0.9760225,,,,,,,,,,,,,,,,,,,,,,,
0.545,0.9803,,,,,,,,,,,,,,,,,,,,,,,
0.546,0.9840924,,,,,,,,,,,,,,,,,,,,,,,
0.547,0.9874182,,,,,,,,,,,,,,,,,,,,,,,
0.548,0.9903128,,,,,,,,,,,,,,,,,,,,,,,
0.549,0.9928116,,,,,,,,,,,,,,,,,,,,,,,
0.55,0.9949501,,,,,,,,,,,,,,,,,,,,,,,
0.551,0.9967108,,,,,,,,,,,,,,,,,,,,,,,
0.552,0.9980983,,,,,,,,,,,,,,,,,,,,,,,
0.553,0.999112,,,,,,,,,,,,,,,,,,,,,,,
0.554,0.9997482,,,,,,,,,,,,,,,,,,,,,,,
0.555,1,,,,,,,,,,,,,,,,,,,,,,,
0.556,0.9998567,,,,,,,,,,,,,,,,,,,,,,,
0.557,0.9993046,,,,,,,,,,,,,,,,,,,,,,,
0.558,0.9983255,,,,,,,,,,,,,,,,,,,,,,,
0.559,0.9968987,,,,,,,,,,,,,,,,,,,,,,,
0.56,0.995,,,,,,,,,,,,,,,,,,,,,,,
0.561,0.9926005,,,,,,,,,,,,,,,,,,,,,,,
0.562,0.9897426,,,,,,,,,,,,,,,,,,,,,,,
0.563,0.9864444,,,,,,,,,,,,,,,,,,,,,,,
0.564,0.9827241,,,,,,,,,,,,,,,,,,,,,,,
0.565,0.9786,,,,,,,,,,,,,,,,,,,,,,,
0.566,0.9740837,,,,,,,,,,,,,,,,,,,,,,,
0.567,0.9691712,,,,,,,,,,,,,,,,,,,,,,,
0.568,0.9638568,,,,,,,,,,,,,,,,,,,,,,,
0.569,0.9581349,,,,,,,,,,,,,,,,,,,,,,,
0.57,0.952,,,,,,,,,,,,,,,,,,,,,,,
0.571,0.9454504,,,,,,,,,,,,,,,,,,,,,,,
0.572,0.9384992,,,,,,,,,,,,,,,,,,,,,,,
0.573,0.9311628,,,,,,,,,,,,,,,,,,,,,,,
0.574,0.9234576,,,,,,,,,,,,,,,,,,,,,,,
0.575,0.9154,,,,,,,,,,,,,,,,,,,,,,,
0.576,0.9070064,,,,,,,,,,,,,,,,,,,,,,,
0.577,0.8982772,,,,,,,,,,,,,,,,,,,,,,,
0.578,0.8892048,,,,,,,,,,,,,,,,,,,,,,,
0.579,0.8797816,,,,,,,,,,,,,,,,,,,,,,,
0.58,0.87,,,,,,,,,,,,,,,,,,,,,,,
0.581,0.8598613,,,,,,,,,,,,,,,,,,,,,,,
0.582,0.849392,,,,,,,,,,,,,,,,,,,,,,,
0.583,0.838622,,,,,,,,,,,,,,,,,,,,,,,
0.584,0.8275813,,,,,,,,,,,,,,,,,,,,,,,
0.585,0.8163,,,,,,,,,,,,,,,,,,,,,,,
0.586,0.8047947,,,,,,,,,,,,,,,,,,,,,,,
0.587,0.793082,,,,,,,,,,,,,,,,,,,,,,,
0.588,0.781192,,,,,,,,,,,,,,,,,,,,,,,
0.589,0.7691547,,,,,,,,,,,,,,,,,,,,,,,
0.59,0.757,,,,,,,,,,,,,,,,,,,,,,,
0.591,0.7447541,,,,,,,,,,,,,,,,,,,,,,,
0.592,0.7324224,,,,,,,,,,,,,,,,,,,,,,,
0.593,0.7200036,,,,,,,,,,,,,,,,,,,,,,,
0.594,0.7074965,,,,,,,,,,,,,,,,,,,,,,,
0.595,0.6949,,,,,,,,,,,,,,,,,,,,,,,
0.596,0.6822192,,,,,,,,,,,,,,,,,,,,,,,
0.597,0.6694716,,,,,,,,,,,,,,,,,,,,,,,
0.598,0.6566744,,,,,,,,,,,,,,,,,,,,,,,
0.599,0.6438448,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.631,,,,,,,,,,,,,,,,,,,,,,,
0.601,0.6181555,,,,,,,,,,,,,,,,,,,,,,,
0.602,0.6053144,,,,,,,,,,,,,,,,,,,,,,,
0.603,0.5924756,,,,,,,,,,,,,,,,,,,,,,,
0.604,0.5796379,,,,,,,,,,,,,,,,,,,,,,,
0.605,0.5668,,,,,,,,,,,,,,,,,,,,,,,
0.606,0.5539611,,,,,,,,,,,,,,,,,,,,,,,
0.607,0.5411372,,,,,,,,,,,,,,,,,,,,,,,
0.608,0.5283528,,,,,,,,,,,,,,,,,,,,,,,
0.609,0.5156323,,,,,,,,,,,,,,,,,,,,,,,
0.61,0.503,,,,,,,,,,,,,,,,,,,,,,,
0.611,0.4904688,,,,,,,,,,,,,,,,,,,,,,,
0.612,0.4780304,,,,,,,,,,,,,,,,,,,,,,,
0.613,0.4656776,,,,,,,,,,,,,,,,,,,,,,,
0.614,0.4534032,,,,,,,,,,,,,,,,,,,,,,,
0.615,0.4412,,,,,,,,,,,,,,,,,,,,,,,
0.616,0.42908,,,,,,,,,,,,,,,,,,,,,,,
0.617,0.417036,,,,,,,,,,,,,,,,,,,,,,,
0.618,0.405032,,,,,,,,,,,,,,,,,,,,,,,
0.619,0.393032,,,,,,,,,,,,,,,,,,,,,,,
0.62,0.381,,,,,,,,,,,,,,,,,,,,,,,
0.621,0.3689184,,,,,,,,,,,,,,,,,,,,,,,
0.622,0.3568272,,,,,,,,,,,,,,,,,,,,,,,
0.623,0.3447768,,,,,,,,,,,,,,,,,,,,,,,
0.624,0.3328176,,,,,,,,,,,,,,,,,,,,,,,
0.625,0.321,,,,,,,,,,,,,,,,,,,,,,,
0.626,0.3093381,,,,,,,,,,,,,,,,,,,,,,,
0.627,0.2978504,,,,,,,,,,,,,,,,,,,,,,,
0.628,0.2865936,,,,,,,,,,,,,,,,,,,,,,,
0.629,0.2756245,,,,,,,,,,,,,,,,,,,,,,,
0.63,0.265,,,,,,,,,,,,,,,,,,,,,,,
0.631,0.2547632,,,,,,,,,,,,,,,,,,,,,,,
0.632,0.2448896,,,,,,,,,,,,,,,,,,,,,,,
0.633,0.2353344,,,,,,,,,,,,,,,,,,,,,,,
0.634,0.2260528,,,,,,,,,,,,,,,,,,,,,,,
0.635,0.217,,,,,,,,,,,,,,,,,,,,,,,
0.636,0.2081616,,,,,,,,,,,,,,,,,,,,,,,
0.637,0.1995488,,,,,,,,,,,,,,,,,,,,,,,
0.638,0.1911552,,,,,,,,,,,,,,,,,,,,,,,
0.639,0.1829744,,,,,,,,,,,,,,,,,,,,,,,
0.64,0.175,,,,,,,,,,,,,,,,,,,,,,,
0.641,0.1672235,,,,,,,,,,,,,,,,,,,,,,,
0.642,0.1596464,,,,,,,,,,,,,,,,,,,,,,,
0.643,0.1522776,,,,,,,,,,,,,,,,,,,,,,,
0.644,0.1451259,,,,,,,,,,,,,,,,,,,,,,,
0.645,0.1382,,,,,,,,,,,,,,,,,,,,,,,
0.646,0.1315003,,,,,,,,,,,,,,,,,,,,,,,
0.647,0.1250248,,,,,,,,,,,,,,,,,,,,,,,
0.648,0.1187792,,,,,,,,,,,,,,,,,,,,,,,
0.649,0.1127691,,,,,,,,,,,,,,,,,,,,,,,
0.65,0.107,,,,,,,,,,,,,,,,,,,,,,,
0.651,0.1014762,,,,,,,,,,,,,,,,,,,,,,,
0.652,0.09618864,,,,,,,,,,,,,,,,,,,,,,,
0.653,0.09112296,,,,,,,,,,,,,,,,,,,,,,,
0.654,0.08626485,,,,,,,,,,,,,,,,,,,,,,,
0.655,0.0816,,,,,,,,,,,,,,,,,,,,,,,
0.656,0.07712064,,,,,,,,,,,,,,,,,,,,,,,
0.657,0.07282552,,,,,,,,,,,,,,,,,,,,,,,
0.658,0.06871008,,,,,,,,,,,,,,,,,,,,,,,
0.659,0.06476976,,,,,,,,,,,,,,,,,,,,,,,
0.66,0.061,,,,,,,,,,,,,,,,,,,,,,,
0.661,0.05739621,,,,,,,,,,,,,,,,,,,,,,,
0.662,0.05395504,,,,,,,,,,,,,,,,,,,,,,,
0.663,0.05067376,,,,,,,,,,,,,,,,,,,,,,,
0.664,0.04754965,,,,,,,,,,,,,,,,,,,,,,,
0.665,0.04458,,,,,,,,,,,,,,,,,,,,,,,
0.666,0.04175872,,,,,,,,,,,,,,,,,,,,,,,
0.667,0.03908496,,,,,,,,,,,,,,,,,,,,,,,
0.668,0.03656384,,,,,,,,,,,,,,,,,,,,,,,
0.669,0.03420048,,,,,,,,,,,,,,,,,,,,,,,
0.67,0.032,,,,,,,,,,,,,,,,,,,,,,,
0.671,0.02996261,,,,,,,,,,,,,,,,,,,,,,,
0.672,0.02807664,,,,,,,,,,,,,,,,,,,,,,,
0.673,0.02632936,,,,,,,,,,,,,,,,,,,,,,,
0.674,0.02470805,,,,,,,,,,,,,,,,,,,,,,,
0.675,0.0232,,,,,,,,,,,,,,,,,,,,,,,
0.676,0.02180077,,,,,,,,,,,,,,,,,,,,,,,
0.677,0.02050112,,,,,,,,,,,,,,,,,,,,,,,
0.678,0.01928108,,,,,,,,,,,,,,,,,,,,,,,
0.679,0.01812069,,,,,,,,,,,,,,,,,,,,,,,
0.68,0.017,,,,,,,,,,,,,,,,,,,,,,,
0.681,0.01590379,,,,,,,,,,,,,,,,,,,,,,,
0.682,0.01483718,,,,,,,,,,,,,,,,,,,,,,,
0.683,0.01381068,,,,,,,,,,,,,,,,,,,,,,,
0.684,0.01283478,,,,,,,,,,,,,,,,,,,,,,,
0.685,0.01192,,,,,,,,,,,,,,,,,,,,,,,
0.686,0.01106831,,,,,,,,,,,,,,,,,,,,,,,
0.687,0.01027339,,,,,,,,,,,,,,,,,,,,,,,
0.688,0.009533311,,,,,,,,,,,,,,,,,,,,,,,
0.689,0.008846157,,,,,,,,,,,,,,,,,,,,,,,
0.69,0.00821,,,,,,,,,,,,,,,,,,,,,,,
